"Exploration and Deposit Appraisal(1), Expenditures Category",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Year,Province / Territory,Category,Value,Unit
2022,Newfoundland and Labrador,Diamond Drilling (Surface and Underground),513.259,Metres (thousands)
2022,Newfoundland and Labrador,Diamond Drilling (Surface and Underground),135814.705,Cost (thousands of dollars)
2022,Newfoundland and Labrador,Other Drilling (Surface and Underground),4.616,Metres (thousands)
2022,Newfoundland and Labrador,Other Drilling (Surface and Underground),534.497,Cost (thousands of dollars)
2022,Newfoundland and Labrador,Geochemistry and Geology,45534.883,(thousands of dollars)
2022,Newfoundland and Labrador,Geophysics,16568.218,(thousands of dollars)
2022,Newfoundland and Labrador,Rock Work(2),13459.447,(thousands of dollars)
2022,Newfoundland and Labrador,Other Field Costs,23096.608,(thousands of dollars)
2022,Newfoundland and Labrador,"Engineering, Economic and Feasibility Studies",11495.841,(thousands of dollars)
2022,Newfoundland and Labrador,"Mineral Leases, Claims, Line Cutting and Head Office",14666.875,(thousands of dollars)
2022,Newfoundland and Labrador,Environment,5478.233,(thousands of dollars)
2022,Newfoundland and Labrador,Land Access,703.819,(thousands of dollars)
2022,Newfoundland and Labrador,Grand Total,267353.126,(thousands of dollars)
2022,Nova Scotia ,Diamond Drilling (Surface and Underground),13.905,Metres (thousands)
2022,Nova Scotia ,Diamond Drilling (Surface and Underground),3212.904,Cost (thousands of dollars)
2022,Nova Scotia ,Other Drilling (Surface and Underground),0.939,Metres (thousands)
2022,Nova Scotia ,Other Drilling (Surface and Underground),1902.794,Cost (thousands of dollars)
2022,Nova Scotia ,Geochemistry and Geology,4570.235,(thousands of dollars)
2022,Nova Scotia ,Geophysics,283.153,(thousands of dollars)
2022,Nova Scotia ,Rock Work(2),41.611,(thousands of dollars)
2022,Nova Scotia ,Other Field Costs,6268.789,(thousands of dollars)
2022,Nova Scotia ,"Engineering, Economic and Feasibility Studies",2374.965,(thousands of dollars)
2022,Nova Scotia ,"Mineral Leases, Claims, Line Cutting and Head Office",4267.378,(thousands of dollars)
2022,Nova Scotia ,Environment,5711.649,(thousands of dollars)
2022,Nova Scotia ,Land Access,0,(thousands of dollars)
2022,Nova Scotia ,Grand Total,28633.478,(thousands of dollars)
2022,New Brunswick,Diamond Drilling (Surface and Underground),39.094,Metres (thousands)
2022,New Brunswick,Diamond Drilling (Surface and Underground),8637.171,Cost (thousands of dollars)
2022,New Brunswick,Other Drilling (Surface and Underground),10.488,Metres (thousands)
2022,New Brunswick,Other Drilling (Surface and Underground),3351.092,Cost (thousands of dollars)
2022,New Brunswick,Geochemistry and Geology,4370.63,(thousands of dollars)
2022,New Brunswick,Geophysics,606.739,(thousands of dollars)
2022,New Brunswick,Rock Work(2),1148.935,(thousands of dollars)
2022,New Brunswick,Other Field Costs,1167.303,(thousands of dollars)
2022,New Brunswick,"Engineering, Economic and Feasibility Studies",1341.092,(thousands of dollars)
2022,New Brunswick,"Mineral Leases, Claims, Line Cutting and Head Office",2944.293,(thousands of dollars)
2022,New Brunswick,Environment,207.179,(thousands of dollars)
2022,New Brunswick,Land Access,189,(thousands of dollars)
2022,New Brunswick,Grand Total,23963.434,(thousands of dollars)
2022,Quebec,Diamond Drilling (Surface and Underground),1959.11,Metres (thousands)
2022,Quebec,Diamond Drilling (Surface and Underground),464286.718,Cost (thousands of dollars)
2022,Quebec,Other Drilling (Surface and Underground),40.15,Metres (thousands)
2022,Quebec,Other Drilling (Surface and Underground),14021.811,Cost (thousands of dollars)
2022,Quebec,Geochemistry and Geology,93532.657,(thousands of dollars)
2022,Quebec,Geophysics,30999.852,(thousands of dollars)
2022,Quebec,Rock Work(2),73612.529,(thousands of dollars)
2022,Quebec,Other Field Costs,90360.018,(thousands of dollars)
2022,Quebec,"Engineering, Economic and Feasibility Studies",63724.033,(thousands of dollars)
2022,Quebec,"Mineral Leases, Claims, Line Cutting and Head Office",53662.845,(thousands of dollars)
2022,Quebec,Environment,22870.376,(thousands of dollars)
2022,Quebec,Land Access,6741.71,(thousands of dollars)
2022,Quebec,Grand Total,913812.549,(thousands of dollars)
2022,Ontario,Diamond Drilling (Surface and Underground),2448.045,Metres (thousands)
2022,Ontario,Diamond Drilling (Surface and Underground),500453.501,Cost (thousands of dollars)
2022,Ontario,Other Drilling (Surface and Underground),85.252,Metres (thousands)
2022,Ontario,Other Drilling (Surface and Underground),22988.65,Cost (thousands of dollars)
2022,Ontario,Geochemistry and Geology,137815.629,(thousands of dollars)
2022,Ontario,Geophysics,22199.353,(thousands of dollars)
2022,Ontario,Rock Work(2),25733.382,(thousands of dollars)
2022,Ontario,Other Field Costs,57286.961,(thousands of dollars)
2022,Ontario,"Engineering, Economic and Feasibility Studies",230181.376,(thousands of dollars)
2022,Ontario,"Mineral Leases, Claims, Line Cutting and Head Office",56144.873,(thousands of dollars)
2022,Ontario,Environment,22809.298,(thousands of dollars)
2022,Ontario,Land Access,11345.717,(thousands of dollars)
2022,Ontario,Grand Total,1086958.74,(thousands of dollars)
2022,Manitoba,Diamond Drilling (Surface and Underground),322.397,Metres (thousands)
2022,Manitoba,Diamond Drilling (Surface and Underground),112668.905,Cost (thousands of dollars)
2022,Manitoba,Other Drilling (Surface and Underground),0,Metres (thousands)
2022,Manitoba,Other Drilling (Surface and Underground),0,Cost (thousands of dollars)
2022,Manitoba,Geochemistry and Geology,18066.028,(thousands of dollars)
2022,Manitoba,Geophysics,9732.648,(thousands of dollars)
2022,Manitoba,Rock Work(2),0,(thousands of dollars)
2022,Manitoba,Other Field Costs,13755.247,(thousands of dollars)
2022,Manitoba,"Engineering, Economic and Feasibility Studies",16242.801,(thousands of dollars)
2022,Manitoba,"Mineral Leases, Claims, Line Cutting and Head Office",10989.672,(thousands of dollars)
2022,Manitoba,Environment,8225.252,(thousands of dollars)
2022,Manitoba,Land Access,881.619,(thousands of dollars)
2022,Manitoba,Grand Total,190562.172,(thousands of dollars)
2022,Saskatchewan,Diamond Drilling (Surface and Underground),258.132,Metres (thousands)
2022,Saskatchewan,Diamond Drilling (Surface and Underground),94745.684,Cost (thousands of dollars)
2022,Saskatchewan,Other Drilling (Surface and Underground),8.086,Metres (thousands)
2022,Saskatchewan,Other Drilling (Surface and Underground),4435.318,Cost (thousands of dollars)
2022,Saskatchewan,Geochemistry and Geology,30043.157,(thousands of dollars)
2022,Saskatchewan,Geophysics,19689.984,(thousands of dollars)
2022,Saskatchewan,Rock Work(2),26209.558,(thousands of dollars)
2022,Saskatchewan,Other Field Costs,40627.424,(thousands of dollars)
2022,Saskatchewan,"Engineering, Economic and Feasibility Studies",55674.968,(thousands of dollars)
2022,Saskatchewan,"Mineral Leases, Claims, Line Cutting and Head Office",64367.539,(thousands of dollars)
2022,Saskatchewan,Environment,11484.053,(thousands of dollars)
2022,Saskatchewan,Land Access,8220.006,(thousands of dollars)
2022,Saskatchewan,Grand Total,355497.691,(thousands of dollars)
2022,Alberta,Diamond Drilling (Surface and Underground),2.671,Metres (thousands)
2022,Alberta,Diamond Drilling (Surface and Underground),534.2,Cost (thousands of dollars)
2022,Alberta,Other Drilling (Surface and Underground),2.434,Metres (thousands)
2022,Alberta,Other Drilling (Surface and Underground),690.68,Cost (thousands of dollars)
2022,Alberta,Geochemistry and Geology,1663.362,(thousands of dollars)
2022,Alberta,Geophysics,30.495,(thousands of dollars)
2022,Alberta,Rock Work(2),0,(thousands of dollars)
2022,Alberta,Other Field Costs,960.45,(thousands of dollars)
2022,Alberta,"Engineering, Economic and Feasibility Studies",9456.2,(thousands of dollars)
2022,Alberta,"Mineral Leases, Claims, Line Cutting and Head Office",4598.355,(thousands of dollars)
2022,Alberta,Environment,595.737,(thousands of dollars)
2022,Alberta,Land Access,96.448,(thousands of dollars)
2022,Alberta,Grand Total,18625.927,(thousands of dollars)
2022,British Columbia,Diamond Drilling (Surface and Underground),1015.65,Metres (thousands)
2022,British Columbia,Diamond Drilling (Surface and Underground),319996.786,Cost (thousands of dollars)
2022,British Columbia,Other Drilling (Surface and Underground),18.962,Metres (thousands)
2022,British Columbia,Other Drilling (Surface and Underground),6039.484,Cost (thousands of dollars)
2022,British Columbia,Geochemistry and Geology,126727.059,(thousands of dollars)
2022,British Columbia,Geophysics,20190.19,(thousands of dollars)
2022,British Columbia,Rock Work(2),93950.44,(thousands of dollars)
2022,British Columbia,Other Field Costs,179658.739,(thousands of dollars)
2022,British Columbia,"Engineering, Economic and Feasibility Studies",115095.225,(thousands of dollars)
2022,British Columbia,"Mineral Leases, Claims, Line Cutting and Head Office",51096.573,(thousands of dollars)
2022,British Columbia,Environment,72616.543,(thousands of dollars)
2022,British Columbia,Land Access,11392.947,(thousands of dollars)
2022,British Columbia,Grand Total,996763.986,(thousands of dollars)
2022,Yukon,Diamond Drilling (Surface and Underground),243.258,Metres (thousands)
2022,Yukon,Diamond Drilling (Surface and Underground),77941.637,Cost (thousands of dollars)
2022,Yukon,Other Drilling (Surface and Underground),12.356,Metres (thousands)
2022,Yukon,Other Drilling (Surface and Underground),4448.405,Cost (thousands of dollars)
2022,Yukon,Geochemistry and Geology,16894.329,(thousands of dollars)
2022,Yukon,Geophysics,2080.383,(thousands of dollars)
2022,Yukon,Rock Work(2),14775.516,(thousands of dollars)
2022,Yukon,Other Field Costs,37434.274,(thousands of dollars)
2022,Yukon,"Engineering, Economic and Feasibility Studies",7316.592,(thousands of dollars)
2022,Yukon,"Mineral Leases, Claims, Line Cutting and Head Office",8595.901,(thousands of dollars)
2022,Yukon,Environment,14384.166,(thousands of dollars)
2022,Yukon,Land Access,2911.546,(thousands of dollars)
2022,Yukon,Grand Total,186782.749,(thousands of dollars)
2022,Northwest Territories,Diamond Drilling (Surface and Underground),91.624,Metres (thousands)
2022,Northwest Territories,Diamond Drilling (Surface and Underground),36157.278,Cost (thousands of dollars)
2022,Northwest Territories,Other Drilling (Surface and Underground),0,Metres (thousands)
2022,Northwest Territories,Other Drilling (Surface and Underground),0,Cost (thousands of dollars)
2022,Northwest Territories,Geochemistry and Geology,10096.643,(thousands of dollars)
2022,Northwest Territories,Geophysics,1219.311,(thousands of dollars)
2022,Northwest Territories,Rock Work(2),2022,(thousands of dollars)
2022,Northwest Territories,Other Field Costs,24964.16,(thousands of dollars)
2022,Northwest Territories,"Engineering, Economic and Feasibility Studies",6903,(thousands of dollars)
2022,Northwest Territories,"Mineral Leases, Claims, Line Cutting and Head Office",16702.555,(thousands of dollars)
2022,Northwest Territories,Environment,8746.657,(thousands of dollars)
2022,Northwest Territories,Land Access,155.096,(thousands of dollars)
2022,Northwest Territories,Grand Total,106966.7,(thousands of dollars)
2022,Nunavut,Diamond Drilling (Surface and Underground),267.315,Metres (thousands)
2022,Nunavut,Diamond Drilling (Surface and Underground),93037.752,Cost (thousands of dollars)
2022,Nunavut,Other Drilling (Surface and Underground),3.165,Metres (thousands)
2022,Nunavut,Other Drilling (Surface and Underground),3000,Cost (thousands of dollars)
2022,Nunavut,Geochemistry and Geology,15733.793,(thousands of dollars)
2022,Nunavut,Geophysics,4590.078,(thousands of dollars)
2022,Nunavut,Rock Work(2),71438.626,(thousands of dollars)
2022,Nunavut,Other Field Costs,9514.399,(thousands of dollars)
2022,Nunavut,"Engineering, Economic and Feasibility Studies",46959.43,(thousands of dollars)
2022,Nunavut,"Mineral Leases, Claims, Line Cutting and Head Office",4258.53,(thousands of dollars)
2022,Nunavut,Environment,6766.698,(thousands of dollars)
2022,Nunavut,Land Access,115.356,(thousands of dollars)
2022,Nunavut,Grand Total,255414.662,(thousands of dollars)
2022,Total,Diamond Drilling (Surface and Underground),7174.46,Metres (thousands)
2022,Total,Diamond Drilling (Surface and Underground),1847487.241,Cost (thousands of dollars)
2022,Total,Other Drilling (Surface and Underground),186.448,Metres (thousands)
2022,Total,Other Drilling (Surface and Underground),61412.731,Cost (thousands of dollars)
2022,Total,Geochemistry and Geology,505048.405,(thousands of dollars)
2022,Total,Geophysics,128190.404,(thousands of dollars)
2022,Total,Rock Work(2),322392.044,(thousands of dollars)
2022,Total,Other Field Costs,485094.372,(thousands of dollars)
2022,Total,"Engineering, Economic and Feasibility Studies",566765.523,(thousands of dollars)
2022,Total,"Mineral Leases, Claims, Line Cutting and Head Office",292295.389,(thousands of dollars)
2022,Total,Environment,179895.841,(thousands of dollars)
2022,Total,Land Access,42753.264,(thousands of dollars)
2022,Total,Grand Total,4431335.214,(thousands of dollars)
