Field of education for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
Physics and Astronomy,58,22.48062015503876,22.52252252252252,-0.041902367483761
Computer Science,57,22.093023255813957,25.525525525525527,-3.432502269711573
Mathematics,23,8.914728682170542,7.207207207207207,1.7075214749633352
Biological Sciences,17,6.5891472868217065,7.207207207207207,-0.6180599203855008
Mechanical Engineering,15,5.813953488372093,3.303303303303303,2.5106501850687897
Geography & Environmental Sciences,13,5.038759689922481,7.5075075075075075,-2.468747817585027
Civil Engineering,10,3.875968992248062,1.2012012012012012,2.674767791046861
Electrical & Electronic Engineering,9,3.488372093023256,5.405405405405405,-1.9170333123821492
Geology,7,2.713178294573644,2.702702702702702,0.0104755918709407
Linguistics,5,1.937984496124031,0.6006006006006006,1.3373838955234305
General Engineering,5,1.937984496124031,1.5015015015015014,0.4364829946225295
Chemistry,5,1.937984496124031,0.9009009009009008,1.03708359522313
History,4,1.550387596899225,1.5015015015015014,0.0488860953977234
Agriculture & Forestry,4,1.550387596899225,0.3003003003003003,1.2500872965989247
Economics,3,1.162790697674419,0.9009009009009008,0.2618897967735177
,3,1.162790697674419,1.2012012012012012,-0.0384105035267825
Chemical Engineering,2,0.7751937984496124,1.5015015015015014,-0.726307703051889
Medicine,2,0.7751937984496124,0.3003003003003003,0.4748934981493121
Philosophy,2,0.7751937984496124,0.9009009009009008,-0.1257071024512884
Librarianship & Information Management,2,0.7751937984496124,0.9009009009009008,-0.1257071024512884
German,2,0.7751937984496124,0.9009009009009008,-0.1257071024512884
Anthropology,1,0.3875968992248062,,
Aeronautical & Manufacturing Engineering,1,0.3875968992248062,0.3003003003003003,0.0872965989245059
Business & Management Studies,1,0.3875968992248062,0.3003003003003003,0.0872965989245059
Communication & Media Studies,1,0.3875968992248062,0.3003003003003003,0.0872965989245059
Psychology,1,0.3875968992248062,0.6006006006006006,-0.2130037013757943
Classics & Ancient History,1,0.3875968992248062,0.6006006006006006,-0.2130037013757943
Materials Technology,1,0.3875968992248062,1.8018018018018016,-1.4142049025769956
Sociology,1,0.3875968992248062,,
Middle Eastern and African Studies,1,0.3875968992248062,,
Veterinary Medicine,1,0.3875968992248062,,
