OaSIS Code,OaSIS Label ,Holland Codes - 1,Holland Codes - 2,Holland Codes - 3
10.0,Legislators,E,S,C
11.0,Senior government managers and officials,E,C,I
12.0,"Senior managers - financial, communications and other business services",E,C,i
13.0,"Senior managers - health, education, social and community services and membership organizations",E,C,S
14.0,"Senior managers - trade, broadcasting and other services",E,C,I
15.0,"Senior managers - construction, transportation, production and utilities",E,C,i
10010.0,Financial managers,E,C,I
10011.0,Human resources managers,E,S,C
10012.0,Purchasing managers,E,C,I
10019.0,Other administrative services managers,E,C,s
10020.01,Insurance managers,E,C,I
10020.02,Real estate service managers,E,C,i
10020.03,Mortgage broker managers,E,C,I
10020.04,Securities manager,E,C,I
10021.01,Banking and other investment managers,E,C,S
10021.02,Credit managers,E,C,S
10022.01,Advertising managers,E,A,C
10022.02,Marketing managers,E,C,a
10022.03,Public relation managers,E,S,A
10022.04,E-business managers,E,S,A
10029.0,Other business services managers,E,C,S
10030.0,Telecommunication carriers managers,E,C,S
11100.01,Financial auditors,C,E,I
11100.02,Accountants,C,E,I
11101.01,Financial analysts,I,E,C
11101.02,Investment analysts,I,E,C
11102.0,Financial advisors,E,C,S
11103.01,Securities agents and investment dealers,E,C,S
11103.02,Brokers,E,I,C
11109.01,Financial examiners and inspectors,E,C,I
11109.02,Financial investigators,E,I,C
11109.03,Financial Underwriters,E,I,C
11109.04,Trust officers,C,E,I
11109.05,Mortgage brokers ,E,C,S
11200.0,Human resources professionals,E,S,C
11201.0,Professional occupations in business management consulting,I,E,C
11202.0,"Professional occupations in marketing, advertising and public relations",E,C,A
12010.0,"Supervisors, general office and administrative support workers",E,C,s
12011.0,"Supervisors, finance and insurance office workers",E,C,s
12012.0,"Supervisors, library, correspondence and related information workers",E,C,s
12013.0,"Supervisors, supply chain, tracking and scheduling coordination occupations",E,C,s
12100.0,Executive assistants,C,E,I
12101.0,Human resources and recruitment officers,E,C,s
12102.0,Procurement and purchasing agents and officers,C,E,I
12103.0,Conference and event planners,E,C,s
12104.01,Excise tax revenue officers,C,I,e
12104.02,Government benefits services officers,S,C,E
12110.01,Court reporters,C,E,
12110.02,Medical transcriptionists,C,r,
12111.0,Health information management occupations,C,i,
12112.0,Records management technicians,C,,
12113.0,Statistical officers and related research support occupations,C,I,
12200.0,Accounting technicians and bookkeepers,C,i,
12201.01,Insurance adjusters,E,C,I
12201.02,Insurance claims examiners,C,E,I
